,High,Low,Open,Close,Day,Month,Year
1779,5584.887207,5074.220215,5222.481445,5514.562988,18,2,2020
1780,5597.237305,5053.48877,5517.450195,5095.068848,19,2,2020
1781,5166.80957,4852.311035,5084.039551,5004.773438,20,2,2020
1782,5384.243652,4951.382813,5000.862793,5280.203125,21,2,2020
1783,5498.328613,5217.191406,5282.714844,5401.128906,22,2,2020
1784,5736.644531,5389.766113,5396.882813,5717.472656,23,2,2020
1785,5719.115723,5219.28418,5719.115723,5442.280762,24,2,2020
1786,5461.839355,5035.010742,5439.383301,5116.436035,25,2,2020
1787,5165.654785,4195.421387,5116.446289,4373.097168,26,2,2020
1788,4633.193359,4143.011719,4374.073242,4409.746582,27,2,2020
1789,4531.45166,4178.079102,4404.731445,4313.463867,28,2,2020
1790,4429.92334,4213.94873,4312.365234,4225.359863,29,2,2020
1791,4339.04248,4088.441162,4224.441895,4183.023926,1,3,2020
1792,4497.140137,4154.01709,4184.995605,4417.541504,2,3,2020
1793,4567.377441,4378.48877,4419.354004,4489.563477,3,3,2020
1794,4521.07959,4359.68457,4489.491699,4437.805664,4,3,2020
1795,4630.492188,4439.302246,4439.302246,4582.404785,5,3,2020
1796,4716.670898,4535.259766,4582.731445,4663.705566,6,3,2020
1797,4717.883789,4477.291016,4663.439941,4480.747559,7,3,2020
1798,4485.092773,3828.108643,4483.175781,3828.108643,8,3,2020
1799,3870.959473,3512.270508,3821.41333,3734.190674,9,3,2020
1800,3784.727295,3658.104004,3757.390137,3730.406006,10,3,2020
1801,3724.25293,3422.800537,3730.953613,3594.806152,11,3,2020
1802,3601.812988,2279.770508,3593.726563,2302.389648,12,3,2020
1803,2896.194336,1930.130249,2307.870605,2768.873779,13,3,2020
1804,2780.744873,2517.863525,2776.139648,2543.937256,14,3,2020
1805,2826.255371,2529.707275,2544.922119,2693.634521,15,3,2020
1806,2694.286621,2272.950439,2694.286621,2442.900146,16,3,2020
1807,2620.126465,2436.24585,2444.896973,2484.562012,17,3,2020
